Model_Group,Algorithm,N_Features,Features,Accuracy_Mean,Precision_Mean,Recall_Mean,F1_Mean,ROC_AUC_Mean,FNR_Mean
Model_A_Terrain_Only,RandomForest,2,"elevation_m, slope_deg",0.7215873015873016,0.6845962628476997,0.8225510799849187,0.7467988610292011,0.7827364240970991,0.17744892001508122
Model_A_Terrain_Only,GradientBoosting,2,"elevation_m, slope_deg",0.722312925170068,0.6878011058617495,0.8159567462736808,0.7457325164213756,0.7839017839318205,0.18404325372631916
Model_B_Terrain_Broader_Context,RandomForest,4,"elevation_m, slope_deg, historical_count_5km, historical_count_10km",0.5656689342403628,0.8443830816023148,0.16167099391449172,0.27009899215675776,0.7364468571457052,0.8383290060855083
Model_B_Terrain_Broader_Context,GradientBoosting,4,"elevation_m, slope_deg, historical_count_5km, historical_count_10km",0.5663492063492064,0.8499826263055528,0.16216556535712207,0.2709188847419083,0.7470678757576821,0.8378344346428779
Model_C_Full_Features,RandomForest,9,"elevation_m, slope_deg, nearest_landslide_distance_m, historical_count_1km, historical_count_2km, historical_count_5km, historical_count_10km, unique_historical_count_1km, unique_historical_count_5km",0.5214965986394557,0.9093259829688869,0.04810161601791378,0.09123458461874115,0.7475968903734369,0.9518983839820863
Model_C_Full_Features,GradientBoosting,9,"elevation_m, slope_deg, nearest_landslide_distance_m, historical_count_1km, historical_count_2km, historical_count_5km, historical_count_10km, unique_historical_count_1km, unique_historical_count_5km",0.5234013605442177,0.895090838853244,0.05337864176500674,0.10057322510339421,0.760784477574104,0.9466213582349934
Model_D_Terrain_Selected_Regional,RandomForest,5,"elevation_m, slope_deg, historical_count_5km, historical_count_10km, unique_historical_count_5km",0.5666666666666667,0.8476708334546448,0.16334365967599243,0.2725704072670007,0.7367649240583884,0.8366563403240075
Model_D_Terrain_Selected_Regional,GradientBoosting,5,"elevation_m, slope_deg, historical_count_5km, historical_count_10km, unique_historical_count_5km",0.5671201814058957,0.8517894094762888,0.16342115103196092,0.272938646885628,0.74439430731974,0.836578848968039
