threshold,accuracy,precision,recall,f1,specificity,roc_auc,brier_score,tn,fp,fn,tp,false_negative_rate,false_positive_rate,total_samples,positives,controls
0.05,0.6431746031746032,0.734442299123719,0.4485260770975057,0.5569320869467282,0.8378231292517007,0.7458796036630827,0.41513025090640315,9237,1788,6080,4945,0.5514739229024943,0.1621768707482993,22050,11025,11025
0.1,0.6036281179138322,0.7776427703523694,0.29024943310657597,0.4227212681638045,0.9170068027210885,0.7458796036630827,0.41513025090640315,10110,915,7825,3200,0.7097505668934241,0.08299319727891157,22050,11025,11025
0.15,0.5809070294784581,0.8160878809355068,0.2088888888888889,0.33263522784718713,0.9529251700680272,0.7458796036630827,0.41513025090640315,10506,519,8722,2303,0.7911111111111111,0.04707482993197279,22050,11025,11025
0.2,0.566485260770975,0.842843779232928,0.1634467120181406,0.27379776646661097,0.9695238095238096,0.7458796036630827,0.41513025090640315,10689,336,9223,1802,0.8365532879818595,0.030476190476190476,22050,11025,11025
0.25,0.5542403628117913,0.8546856465005931,0.130702947845805,0.22673275116041225,0.9777777777777777,0.7458796036630827,0.41513025090640315,10780,245,9584,1441,0.8692970521541951,0.022222222222222223,22050,11025,11025
0.3,0.5461224489795918,0.8687454677302393,0.10866213151927438,0.19316349564656562,0.9835827664399093,0.7458796036630827,0.41513025090640315,10844,181,9827,1198,0.8913378684807256,0.016417233560090703,22050,11025,11025
0.35,0.5391836734693878,0.8823008849557522,0.09043083900226757,0.16404771698889345,0.9879365079365079,0.7458796036630827,0.41513025090640315,10892,133,10028,997,0.9095691609977324,0.012063492063492064,22050,11025,11025
0.4,0.5331972789115647,0.8927038626609443,0.07546485260770976,0.13916534247721,0.9909297052154195,0.7458796036630827,0.41513025090640315,10925,100,10193,832,0.9245351473922903,0.009070294784580499,22050,11025,11025
0.45,0.5268934240362811,0.8990578734858681,0.06058956916099773,0.11352821210061183,0.9931972789115646,0.7458796036630827,0.41513025090640315,10950,75,10357,668,0.9394104308390022,0.006802721088435374,22050,11025,11025
0.5,0.5214965986394557,0.9100346020761245,0.04770975056689342,0.09066620701542705,0.9952834467120182,0.7458796036630827,0.41513025090640315,10973,52,10499,526,0.9522902494331066,0.00471655328798186,22050,11025,11025
